장르,게임명,시작,마무리,분류,총시간,raitng 구글 (or s for 스팀),만족도,몰입감,게임성,"그래픽",사운드,완성도,총점
생존,This war of mine,201900,201900,중도폐기,5,s4.5,1,2,2,2,,2.5,1.7
스포츠,테니스 투어 2,202200,202300,중도폐기,50,s3.0,1.5,1,1.5,3.5,,2.5,1.7
시뮬레이션,레일 웨이 엠파이어,202100,202100,중도폐기,20,s4.5,1.5,2,1.5,2.5,,2.6,1.72
시뮬레이션,프리즌 아키텍트,201800,201800,중도폐기,10,s4.5,0.5,2.4,2.2,2,,3,1.92
카드,Solitairica,201800,201800,중도폐기,10,s3.5,0.5,2,1.5,2,,2.5,1.6
퍼즐,into the breach,201900,201900,중도폐기,10,s4.5,1,1.5,2,1.5,,2.5,1.5
퍼즐,리틀 빅 워크 샵,202200,202200,중도폐기,15,s4.5,1.5,2,2,2,,2,1.6
어드벤쳐,블레어 위치,202100,202100,중도폐기,30,3.9,2,3.5,2.5,2.5,,2.5,2.2
TRPG,for the king,201900,201900,중도폐기,20,4.3,1,1.5,2,2,,2,1.5
로그라이크,다키스트 던전,202200,202200,치트모드,50,4.3,2.2,3.5,2.5,2.5,,2.8,2.26
"로그라이크, 생존",faster than light,202000,202000,치트모드,30,4.5,1,2,2,2,,2,1.6
TRPG,xcom2,202300,202300,치트모드,50,s4.5,1.5,1.2,1.5,3.5,,2.5,1.74
